name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,5015,4906569020,,,0,,,,-122.3128698,47.6526388,,,
,5016,4906728039,,,0,,,,-122.3034505,47.6490233,,,
,5017,4906728043,,,0,,,,-122.3057664,47.6496213,,,
,5018,4906728046,,,0,,,,-122.3066252,47.6500506,,,
,5019,4906728047,,,0,,,,-122.3070898,47.6502868,,,
,5020,4906728048,traffic_signals,,1,,,,-122.3074616,47.6504758,,,
,5021,4908012662,,,0,,,,-122.31498,47.6565761,,,
,5022,4908012663,,,0,,,,-122.314981,47.6565133,,,
,5023,4915408056,,,0,,,,-122.3018423,47.6568926,,,
,5024,4915408057,,,0,,,,-122.3019987,47.6563992,,,
,5025,4915408059,,,0,,,,-122.3020872,47.6561201,,,
,5026,4915439430,crossing,,0,,,,-122.2985296,47.6610152,,,
,5027,4915520494,crossing,,0,,,,-122.2965336,47.6612196,,,
,5028,4915520495,crossing,,0,,,,-122.2968471,47.6612211,,,
,5029,4915520496,,,0,,,,-122.2958981,47.6612154,,,
,5030,4915520499,,,0,,,,-122.2980553,47.6611226,,,
,5031,4964465428,,,0,,,,-122.3210167,47.655046,,,
,5032,4964465429,,,0,,,,-122.3198048,47.6549421,,,
,5033,4964500178,,,0,,,,-122.3037726,47.6567999,,,
,5034,4964500181,,,0,,,,-122.3028088,47.6571226,,,
,5035,4964500183,,,0,,,,-122.3025633,47.6575928,,,
,5036,4964500184,,,0,,,,-122.3024849,47.6575945,,,
,5037,4964500186,,,0,,,,-122.3030347,47.6569983,,,
,5038,4964500187,,,0,,,,-122.303232,47.6568788,,,
,5039,4964500189,,,0,,,,-122.3028639,47.6570923,,,
,5040,4964500192,,,0,,,,-122.3024684,47.6570995,,,
,5041,4964500195,crossing,,0,,,,-122.302612,47.6570209,,,
,5042,4964500196,crossing,,0,,,,-122.3026557,47.6568657,,,
,5043,4964500197,crossing,,0,,,,-122.3027045,47.6567204,,,
,5044,4964500198,,,0,,,,-122.3027367,47.6565791,,,
,5045,4964500199,crossing,,0,,,,-122.3027358,47.6565554,,,
,5046,4964500200,crossing,,0,,,,-122.3027132,47.6563741,,,
,5047,4964500201,,,0,,,,-122.302691,47.6562827,,,
,5048,4964500202,,,0,,,,-122.3026745,47.6562292,,,
,5049,4964500205,,,0,,,,-122.3026883,47.6560811,,,
,5050,4964500206,crossing,,0,,,,-122.3027002,47.6560452,,,
,5051,4964516343,,,0,,,,-122.3188611,47.6592681,,,
,5052,4964516640,,,0,,,,-122.317208,47.6584365,,,
,5053,4976258939,,,0,,,,-122.2949664,47.6632226,,,
,5054,4976258940,,,0,,,,-122.2946591,47.6633966,,,
,5055,4976324505,,,0,,,,-122.3113886,47.6558464,,,
,5056,4976324506,,,0,,,,-122.3113126,47.6561449,,,
,5057,4976324508,,,0,,,,-122.3114399,47.655847,,,
,5058,4978680615,,,0,,,,-122.3137064,47.6537548,,,
,5059,4988637138,,,0,,,,-122.3144696,47.6605285,,,
,5060,4988637139,,,0,,,,-122.3144352,47.6605323,,,
