name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,573,7978639,724,726,,15.981956213878881,1,15,,service,7,"LINESTRING (-122.3138175 47.6571848, -122.3138132 47.6573285)",bike,1
,574,7978639,726,724,,15.981956213878881,1,15,,service,7,"LINESTRING (-122.3138132 47.6573285, -122.3138175 47.6571848)",bike,1
,575,7978639,726,325,,111.70678447721257,1,15,,service,7,"LINESTRING (-122.3138132 47.6573285, -122.3138113 47.6573931, -122.3137859 47.6582661, -122.3137833 47.6583329)",bike,1
,576,7978639,325,726,,111.70678447721257,1,15,,service,7,"LINESTRING (-122.3137833 47.6583329, -122.3137859 47.6582661, -122.3138113 47.6573931, -122.3138132 47.6573285)",bike,1
,577,7978639,325,1105,,25.888782829264404,1,15,,service,7,"LINESTRING (-122.3137833 47.6583329, -122.3137819 47.6583969, -122.3137802 47.658481, -122.3137784 47.6585657)",bike,1
,578,7978639,1105,325,,25.888782829264404,1,15,,service,7,"LINESTRING (-122.3137784 47.6585657, -122.3137802 47.658481, -122.3137819 47.6583969, -122.3137833 47.6583329)",bike,1
,579,7978639,1105,1108,,39.82297147973581,1,15,,service,7,"LINESTRING (-122.3137784 47.6585657, -122.3137748 47.6587365, -122.3137708 47.6589238)",bike,1
,580,7978639,1108,1105,,39.82297147973581,1,15,,service,7,"LINESTRING (-122.3137708 47.6589238, -122.3137748 47.6587365, -122.3137784 47.6585657)",bike,1
,581,7978639,1108,1109,,15.568804793509162,1,15,,service,7,"LINESTRING (-122.3137708 47.6589238, -122.3137679 47.6590638)",bike,1
,582,7978639,1109,1108,,15.568804793509162,1,15,,service,7,"LINESTRING (-122.3137679 47.6590638, -122.3137708 47.6589238)",bike,1
,583,7978639,1109,397,,6.639051076681577,1,15,,service,7,"LINESTRING (-122.3137679 47.6590638, -122.3137666 47.6591235)",bike,1
,584,7978639,397,1109,,6.639051076681577,1,15,,service,7,"LINESTRING (-122.3137666 47.6591235, -122.3137679 47.6590638)",bike,1
,585,7978639,397,1111,,9.841674348952616,1,15,,service,7,"LINESTRING (-122.3137666 47.6591235, -122.3137648 47.659212)",bike,1
,586,7978639,1111,397,,9.841674348952616,1,15,,service,7,"LINESTRING (-122.3137648 47.659212, -122.3137666 47.6591235)",bike,1
,587,7978639,1111,1112,,16.147172569237483,1,15,,service,7,"LINESTRING (-122.3137648 47.659212, -122.3137617 47.6593572)",bike,1
,588,7978639,1112,1111,,16.147172569237483,1,15,,service,7,"LINESTRING (-122.3137617 47.6593572, -122.3137648 47.659212)",bike,1
,589,7978639,1112,1750,,19.761387896482,1,15,,service,7,"LINESTRING (-122.3137617 47.6593572, -122.3137579 47.6595349)",bike,1
,590,7978639,1750,1112,,19.761387896482,1,15,,service,7,"LINESTRING (-122.3137579 47.6595349, -122.3137617 47.6593572)",bike,1
