o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0.0,"LINESTRING (-122.3182165 47.6619451,-122.3182165 47.6619451)"
1,A1,2,A2,0.5961601398706632,1.0427075016572103,"LINESTRING (-122.3182165 47.6619451,-122.3120394 47.6620739)"
1,A1,3,A3,1.3141005712790406,0.1929909497547435,"LINESTRING (-122.3182165 47.6619451,-122.3045975 47.6619336)"
1,A1,4,A4,1.9988433880050254,1.8482329859366466,"LINESTRING (-122.3182165 47.6619451,-122.297502 47.6621496)"
1,A1,5,A5,2.761383787686536,0.387190333783167,"LINESTRING (-122.3182165 47.6619451,-122.2895982 47.6619935)"
1,A1,6,B1,0.3118485066084304,0.5982701351885007,"LINESTRING (-122.3182165 47.6619451,-122.3184912 47.6587249)"
1,A1,7,B2,0.6950125771649122,0.3791992703491214,"LINESTRING (-122.3182165 47.6619451,-122.3118111 47.6586508)"
1,A1,8,B3,1.3468844457255853,0.23134166892147975,"LINESTRING (-122.3182165 47.6619451,-122.3046924 47.6584889)"
1,A1,9,B4,2.0200992969018916,0.6562193484866538,"LINESTRING (-122.3182165 47.6619451,-122.2975099 47.6588555)"
1,A1,10,B5,2.7815688288883575,0.2420672972203929,"LINESTRING (-122.3182165 47.6619451,-122.289528 47.6591177)"
1,A1,11,C1,0.6284242175341845,0.3387253493939881,"LINESTRING (-122.3182165 47.6619451,-122.3185369 47.6554401)"
1,A1,12,C2,0.8843903629093091,0.5782852681840728,"LINESTRING (-122.3182165 47.6619451,-122.3117603 47.6554393)"
1,A1,13,C3,1.459140280482016,1.3220274218532542,"LINESTRING (-122.3182165 47.6619451,-122.3046049 47.6553569)"
1,A1,14,C4,1.9541484118999028,0.6412597389213378,"LINESTRING (-122.3182165 47.6619451,-122.2990484 47.6554076)"
1,A1,15,C5,3.061013850338033,0.007322747121948196,"LINESTRING (-122.3182165 47.6619451,-122.2870025 47.6562818)"
1,A1,16,D1,0.9683322643384713,0.24714305412195106,"LINESTRING (-122.3182165 47.6619451,-122.3194182 47.6519817)"
1,A1,17,D2,1.136811373544993,0.3271825749039171,"LINESTRING (-122.3182165 47.6619451,-122.3114752 47.6522827)"
1,A1,18,D3,1.6157663761397536,0.46778458374121473,"LINESTRING (-122.3182165 47.6619451,-122.3047238 47.6520277)"
1,A1,19,D4,1.9938791286598097,0.1658570114725999,"LINESTRING (-122.3182165 47.6619451,-122.2999068 47.652366)"
1,A1,20,D5,2.93859127205427,0.0,"LINESTRING (-122.3182165 47.6619451,-122.2894249 47.6520183)"
1,A1,21,E1,1.2926319069116976,0.28323364679396,"LINESTRING (-122.3182165 47.6619451,-122.3194636 47.6486067)"
1,A1,22,E2,1.4316912627577134,0.19758107684523335,"LINESTRING (-122.3182165 47.6619451,-122.3100719 47.6495426)"
1,A1,23,E3,1.8329606254656536,0.47808804063360555,"LINESTRING (-122.3182165 47.6619451,-122.3043097 47.6490044)"
1,A1,24,E4,2.18185681016759,0.010852127175281785,"LINESTRING (-122.3182165 47.6619451,-122.2998932 47.6486949)"
1,A1,25,E5,3.0588487513920413,0.0,"LINESTRING (-122.3182165 47.6619451,-122.2894249 47.6486783)"
1,A1,26,Gate1,1.0116884032935356,80.43356205919612,"LINESTRING (-122.3182165 47.6619451,-122.3263749 47.6553592)"
1,A1,27,Gate2,1.391972994604247,278.15973446648627,"LINESTRING (-122.3182165 47.6619451,-122.3042049 47.6653783)"
1,A1,28,Gate3,3.5485223751088606,10.132029872320807,"LINESTRING (-122.3182165 47.6619451,-122.282035 47.6553592)"
1,A1,29,Gate4,2.0964194525856974,216.2674796191932,"LINESTRING (-122.3182165 47.6619451,-122.3042049 47.64534)"
2,A2,1,A1,0.5961601398706632,0.8117546443596944,"LINESTRING (-122.3120394 47.6620739,-122.3182165 47.6619451)"
2,A2,2,A2,0.0,0.0,"LINESTRING (-122.3120394 47.6620739,-122.3120394 47.6620739)"
2,A2,3,A3,0.7181970620352863,0.26282687380978975,"LINESTRING (-122.3120394 47.6620739,-122.3045975 47.6619336)"
2,A2,4,A4,1.4027344308116296,2.5045452595635846,"LINESTRING (-122.3120394 47.6620739,-122.297502 47.6621496)"
2,A2,5,A5,2.1653631243996436,0.5235134112630887,"LINESTRING (-122.3120394 47.6620739,-122.2895982 47.6619935)"
2,A2,6,B1,0.7014075407286375,0.7016172514175097,"LINESTRING (-122.3120394 47.6620739,-122.3184912 47.6587249)"
2,A2,7,B2,0.33102577091767654,0.5032765079663841,"LINESTRING (-122.3120394 47.6620739,-122.3118111 47.6586508)"
2,A2,8,B3,0.7888092156554903,0.31315939007008875,"LINESTRING (-122.3120394 47.6620739,-122.3046924 47.6584889)"
2,A2,9,B4,1.4359327468873448,0.8877117381654285,"LINESTRING (-122.3120394 47.6620739,-122.2975099 47.6588555)"
2,A2,10,B5,2.190775928996667,0.3270559728799806,"LINESTRING (-122.3120394 47.6620739,-122.289528 47.6591177)"
2,A2,11,C1,0.8959738510616003,0.406937625217156,"LINESTRING (-122.3120394 47.6620739,-122.3185369 47.6554401)"
2,A2,12,C2,0.6407396807098148,0.7499111023677969,"LINESTRING (-122.3120394 47.6620739,-122.3117603 47.6554393)"
2,A2,13,C3,0.9667801978698514,1.7708014552522322,"LINESTRING (-122.3120394 47.6620739,-122.3046049 47.6553569)"
2,A2,14,C4,1.4089087308292738,0.8630862987208292,"LINESTRING (-122.3120394 47.6620739,-122.2990484 47.6554076)"
2,A2,15,C5,2.479615580809652,0.009876747197976222,"LINESTRING (-122.3120394 47.6620739,-122.2870025 47.6562818)"
2,A2,16,D1,1.206311531329418,0.29879979793553263,"LINESTRING (-122.3120394 47.6620739,-122.3194182 47.6519817)"
2,A2,17,D2,0.9463199269317353,0.4203508302663436,"LINESTRING (-122.3120394 47.6620739,-122.3114752 47.6522827)"
2,A2,18,D3,1.1991370372574248,0.6193622322382647,"LINESTRING (-122.3120394 47.6620739,-122.3047238 47.6520277)"
2,A2,19,D4,1.4993054180431387,0.22165742249726328,"LINESTRING (-122.3120394 47.6620739,-122.2999068 47.652366)"
2,A2,20,D5,2.388066362790561,0.0,"LINESTRING (-122.3120394 47.6620739,-122.2894249 47.6520183)"
2,A2,21,E1,1.4838222684107092,0.3449742473193933,"LINESTRING (-122.3120394 47.6620739,-122.3194636 47.6486067)"
2,A2,22,E2,1.2239596827325183,0.25424748505185873,"LINESTRING (-122.3120394 47.6620739,-122.3100719 47.6495426)"
2,A2,23,E3,1.465124920859889,0.6282834205592471,"LINESTRING (-122.3120394 47.6620739,-122.3043097 47.6490044)"
2,A2,24,E4,1.7435871976483897,0.014385571836374995,"LINESTRING (-122.3120394 47.6620739,-122.2998932 47.6486949)"
2,A2,25,E5,2.5361601710667254,0.0,"LINESTRING (-122.3120394 47.6620739,-122.2894249 47.6486783)"
2,A2,26,Gate1,1.527450661942904,93.6183132849187,"LINESTRING (-122.3120394 47.6620739,-122.3263749 47.6553592)"
2,A2,27,Gate2,0.8204389054251718,377.11109472300956,"LINESTRING (-122.3120394 47.6620739,-122.3042049 47.6653783)"
2,A2,28,Gate3,2.9667389407388267,13.65786082728868,"LINESTRING (-122.3120394 47.6620739,-122.282035 47.6553592)"
2,A2,29,Gate4,1.782852864515492,281.96919394144606,"LINESTRING (-122.3120394 47.6620739,-122.3042049 47.64534)"
3,A3,1,A1,1.3141005712790406,0.3515592492183114,"LINESTRING (-122.3045975 47.6619336,-122.3182165 47.6619451)"
3,A3,2,A2,0.7181970620352863,0.614991439103379,"LINESTRING (-122.3045975 47.6619336,-122.3120394 47.6620739)"
3,A3,3,A3,0.0,0.0,"LINESTRING (-122.3045975 47.6619336,-122.3045975 47.6619336)"
3,A3,4,A4,0.6849629085726611,1.3337894893693327,"LINESTRING (-122.3045975 47.6619336,-122.297502 47.6621496)"
3,A3,5,A5,1.4472912732391896,0.27706112236126224,"LINESTRING (-122.3045975 47.6619336,-122.2895982 47.6619935)"
3,A3,6,B1,1.3758912224171882,0.3062022851631356,"LINESTRING (-122.3045975 47.6619336,-122.3184912 47.6587249)"
3,A3,7,B2,0.7647214514418756,0.22550529201863814,"LINESTRING (-122.3045975 47.6619336,-122.3118111 47.6586508)"
3,A3,8,B3,0.3325116971049297,0.16196959706136504,"LINESTRING (-122.3045975 47.6619336,-122.3046924 47.6584889)"
3,A3,9,B4,0.7455926352175047,0.4705778852300739,"LINESTRING (-122.3045975 47.6619336,-122.2975099 47.6588555)"
3,A3,10,B5,1.479225420309126,0.1729152432028055,"LINESTRING (-122.3045975 47.6619336,-122.289528 47.6591177)"
3,A3,11,C1,1.4837857880787249,0.1801095002687107,"LINESTRING (-122.3045975 47.6619336,-122.3185369 47.6554401)"
3,A3,12,C2,0.9329243662948239,0.345087049502529,"LINESTRING (-122.3045975 47.6619336,-122.3117603 47.6554393)"
3,A3,13,C3,0.6345923041688731,0.8940495233868725,"LINESTRING (-122.3045975 47.6619336,-122.3046049 47.6553569)"
3,A3,14,C4,0.8265669723210823,0.45038523022848925,"LINESTRING (-122.3045975 47.6619336,-122.2990484 47.6554076)"
3,A3,15,C5,1.783179445502489,0.005205593651013954,"LINESTRING (-122.3045975 47.6619336,-122.2870025 47.6562818)"
3,A3,16,D1,1.7225375705410062,0.13381364434686369,"LINESTRING (-122.3045975 47.6619336,-122.3194182 47.6519817)"
3,A3,17,D2,1.1434915949458158,0.19643804822668387,"LINESTRING (-122.3045975 47.6619336,-122.3114752 47.6522827)"
3,A3,18,D3,0.9559012819694532,0.3081039147989995,"LINESTRING (-122.3045975 47.6619336,-122.3047238 47.6520277)"
3,A3,19,D4,1.0281629349421384,0.11374088314733395,"LINESTRING (-122.3045975 47.6619336,-122.2999068 47.652366)"
