name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9660,607203057,5405,5397,,26.146887962572823,1,4,,footway,9,"LINESTRING (-122.3095893 47.6569566, -122.3095961 47.6567215)",walk,0
,9661,607203058,5406,2032,,57.518257852080154,1,4,,footway,9,"LINESTRING (-122.3113094 47.6562932, -122.3112964 47.6568104)",walk,0
,9662,607203058,2032,5407,,9.793244853541365,1,4,,footway,9,"LINESTRING (-122.3112964 47.6568104, -122.3112872 47.6568728, -122.3112701 47.6568954)",walk,0
,9663,607203058,5407,5415,,67.72893196216225,1,4,,footway,9,"LINESTRING (-122.3112701 47.6568954, -122.3112302 47.6569289, -122.3111766 47.6569519, -122.3110928 47.6569663, -122.3109359 47.6569627, -122.3104024 47.6569632)",walk,0
,9664,607203058,5415,5393,,15.716824145088728,1,4,,footway,9,"LINESTRING (-122.3104024 47.6569632, -122.3103082 47.6569614, -122.3102101 47.6570026)",walk,0
,9665,607203058,5393,5411,,26.37676159343874,1,4,,footway,9,"LINESTRING (-122.3102101 47.6570026, -122.3099461 47.6571596)",walk,0
,9666,607203058,5411,1805,,19.408630349858633,1,4,,footway,9,"LINESTRING (-122.3099461 47.6571596, -122.3099113 47.6571768, -122.3098496 47.6571398, -122.3097838 47.6571172, -122.3097248 47.657112)",walk,0
,9667,607203058,1805,5399,,6.63422147533246,1,4,,footway,9,"LINESTRING (-122.3097248 47.657112, -122.3096363 47.6571145)",walk,0
,9668,607203058,5399,2034,,17.00990070017855,1,4,,footway,9,"LINESTRING (-122.3096363 47.6571145, -122.3095612 47.6571344, -122.3095062 47.6571759, -122.3094836 47.6572161)",walk,0
,9669,607203058,2034,1806,,14.788110689371226,1,4,,footway,9,"LINESTRING (-122.3094836 47.6572161, -122.3094714 47.6572662, -122.3094754 47.6573195, -122.3094874 47.6573472)",walk,0
,9670,607203058,1806,1807,,14.890677583510861,1,4,,footway,9,"LINESTRING (-122.3094874 47.6573472, -122.3095512 47.6573995, -122.3095887 47.6574248, -122.3096123 47.6574508)",walk,0
,9671,607203059,5400,5408,,12.884899301071004,1,4,,footway,9,"LINESTRING (-122.3098221 47.6570147, -122.3098264 47.6570351, -122.3098198 47.6570552, -122.3098031 47.6570724, -122.3097784 47.6570846, -122.309749 47.6570901, -122.3097298 47.6570908)",walk,0
,9672,607203059,5408,5401,,5.753876254558534,1,4,,footway,9,"LINESTRING (-122.3097298 47.6570908, -122.3097119 47.6570868, -122.3096805 47.6570732, -122.3096696 47.6570614)",walk,0
