o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
15,C5,11,C1,3.04383511808497,"LINESTRING (-122.2870025 47.6562818,-122.3185369 47.6554401)"
15,C5,12,C2,2.3902642771437184,"LINESTRING (-122.2870025 47.6562818,-122.3117603 47.6554393)"
15,C5,13,C3,1.7008028222826759,"LINESTRING (-122.2870025 47.6562818,-122.3046049 47.6553569)"
15,C5,14,C4,1.1653663025872019,"LINESTRING (-122.2870025 47.6562818,-122.2990484 47.6554076)"
15,C5,15,C5,0.0,"LINESTRING (-122.2870025 47.6562818,-122.2870025 47.6562818)"
15,C5,16,D1,3.155192491085572,"LINESTRING (-122.2870025 47.6562818,-122.3194182 47.6519817)"
15,C5,17,D2,2.3926949462355025,"LINESTRING (-122.2870025 47.6562818,-122.3114752 47.6522827)"
15,C5,18,D3,1.7585073828324462,"LINESTRING (-122.2870025 47.6562818,-122.3047238 47.6520277)"
15,C5,19,D4,1.3012073454229702,"LINESTRING (-122.2870025 47.6562818,-122.2999068 47.652366)"
15,C5,20,D5,0.4731510995204015,"LINESTRING (-122.2870025 47.6562818,-122.2894249 47.6520183)"
15,C5,21,E1,3.218528380105738,"LINESTRING (-122.2870025 47.6562818,-122.3194636 47.6486067)"
15,C5,22,E2,2.3190028301241923,"LINESTRING (-122.2870025 47.6562818,-122.3100719 47.6495426)"
15,C5,23,E3,1.8115957402904017,"LINESTRING (-122.2870025 47.6562818,-122.3043097 47.6490044)"
15,C5,24,E4,1.4432674765493314,"LINESTRING (-122.2870025 47.6562818,-122.2998932 47.6486949)"
15,C5,25,E5,0.7699964903070392,"LINESTRING (-122.2870025 47.6562818,-122.2894249 47.6486783)"
15,C5,26,Gate1,3.800085971810123,"LINESTRING (-122.2870025 47.6562818,-122.3263749 47.6553592)"
15,C5,27,Gate2,1.8776427771244864,"LINESTRING (-122.2870025 47.6562818,-122.3042049 47.6653783)"
15,C5,28,Gate3,0.48751218028805965,"LINESTRING (-122.2870025 47.6562818,-122.282035 47.6553592)"
15,C5,29,Gate4,1.9671852956621003,"LINESTRING (-122.2870025 47.6562818,-122.3042049 47.64534)"
16,D1,1,A1,0.9683322643384713,"LINESTRING (-122.3194182 47.6519817,-122.3182165 47.6619451)"
16,D1,2,A2,1.206311531329418,"LINESTRING (-122.3194182 47.6519817,-122.3120394 47.6620739)"
16,D1,3,A3,1.7225375705410062,"LINESTRING (-122.3194182 47.6519817,-122.3045975 47.6619336)"
16,D1,4,A4,2.3311973477502304,"LINESTRING (-122.3194182 47.6519817,-122.297502 47.6621496)"
16,D1,5,A5,3.035169186671805,"LINESTRING (-122.3194182 47.6519817,-122.2895982 47.6619935)"
