name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,0,5591077,1,1962,,19.044238205438358,1,29,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839, -111.9304005 33.4232277, -111.9303882 33.423295)",walk,1
East 6th Street,1,5591077,1962,1,,19.044238205438358,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9304264 33.4231268)",walk,1
East 6th Street,2,5591077,1962,2,,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",walk,1
East 6th Street,3,5591077,2,1962,,184.2463406734256,1,29,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295)",walk,1
West 6th Street,4,5591085,450,2082,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",walk,1
West 6th Street,5,5591085,2082,450,,51.80434670757692,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",walk,1
West 6th Street,6,5591085,2082,4,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",walk,1
West 6th Street,7,5591085,4,2082,,58.44003270071547,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",walk,1
East 6th Street,8,5591100,327,2040,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",walk,1
East 6th Street,9,5591100,2040,327,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",walk,1
East 6th Street,10,5591100,2040,2036,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",walk,1
East 6th Street,11,5591100,2036,2040,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",walk,1
East 6th Street,12,5591100,2036,1744,,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.424359)",walk,1
East 6th Street,13,5591100,1744,2036,,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.9373581 33.4243583)",walk,1
East 6th Street,14,5591100,1744,6,,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.936666 33.4243591)",walk,1
East 6th Street,15,5591100,6,1744,,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359)",walk,1
East 6th Street,16,5591100,6,1743,,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597)",walk,1
East 6th Street,17,5591100,1743,6,,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.936666 33.4243591)",walk,1
East 6th Street,18,5591100,1743,1162,,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.9362338 33.4243617)",walk,1
East 6th Street,19,5591100,1162,1743,,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365605 33.4243597)",walk,1
East 6th Street,20,5591100,1162,2106,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358561 33.4243639)",walk,1
East 6th Street,21,5591100,2106,1162,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9362338 33.4243617)",walk,1
East 6th Street,22,5591100,2106,1168,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9355078 33.424366)",walk,1
East 6th Street,23,5591100,1168,2106,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9358561 33.4243639)",walk,1
East 6th Street,24,5591100,1168,2111,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9353948 33.4243414)",walk,1
East 6th Street,25,5591100,2111,1168,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9355078 33.424366)",walk,1
East 6th Street,26,5591100,2111,1355,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366)",walk,1
East 6th Street,27,5591100,1355,2111,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414)",walk,1
East 6th Street,28,5591100,1355,53,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9349809 33.4243346)",walk,1
East 6th Street,29,5591100,53,1355,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366)",walk,1
South Maple Avenue,30,5591429,7,2181,,67.33988158533121,1,29,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412597 33.4219207, -111.9412432 33.4213251)",walk,1
