name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,29,5591100,2161,1204,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9355078 33.424366)",bike;auto;walk,1
East 6th Street,30,5591100,2161,1399,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366)",bike;auto;walk,1
East 6th Street,31,5591100,1399,2161,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414)",bike;auto;walk,1
East 6th Street,32,5591100,1399,53,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9349809 33.4243346)",bike;auto;walk,1
East 6th Street,33,5591100,53,1399,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366)",bike;auto;walk,1
South Maple Avenue,34,5591429,7,2322,,1.0944818355769894,1,29,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412597 33.4219207)",bike;auto;walk,1
South Maple Avenue,35,5591429,2322,7,,1.0944818355769894,1,29,,residential,6,"LINESTRING (-111.9412597 33.4219207, -111.9412608 33.4219305)",bike;auto;walk,1
South Maple Avenue,36,5591429,2322,2257,,66.24539974975423,1,29,,residential,6,"LINESTRING (-111.9412597 33.4219207, -111.9412432 33.4213251)",bike;auto;walk,1
South Maple Avenue,37,5591429,2257,2322,,66.24539974975423,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412597 33.4219207)",bike;auto;walk,1
South Maple Avenue,38,5591429,2257,2260,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412418 33.4212879)",bike;auto;walk,1
South Maple Avenue,39,5591429,2260,2257,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412432 33.4213251)",bike;auto;walk,1
South Maple Avenue,40,5591429,2260,145,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412404 33.4212296)",bike;auto;walk,1
South Maple Avenue,41,5591429,145,2260,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412418 33.4212879)",bike;auto;walk,1
South Maple Avenue,42,5591429,145,2246,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412399 33.4211998)",bike;auto;walk,1
South Maple Avenue,43,5591429,2246,145,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412404 33.4212296)",bike;auto;walk,1
South Maple Avenue,44,5591429,2246,2245,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",bike;auto;walk,1
South Maple Avenue,45,5591429,2245,2246,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998)",bike;auto;walk,1
East Apache Boulevard,46,5602753,70,264,,8.710508218625668,2,39,,primary,3,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003)",bike;auto;walk,0
East Apache Boulevard,47,5602753,264,69,,159.78084833854263,2,39,,primary,3,"LINESTRING (-111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9383 33.4149256)",bike;auto;walk,0
East Apache Boulevard,48,5602753,69,18,,92.29612420822637,2,39,,primary,3,"LINESTRING (-111.9383 33.4149256, -111.938104 33.4148441, -111.937825 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",bike;auto;walk,0
East Apache Boulevard,49,5602753,18,535,,32.334223607060224,2,39,,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",bike;auto;walk,0
West 4th Street,50,5603481,341,2307,,1.3653301308144001,1,25,,residential,6,"LINESTRING (-111.9399641 33.4264662, -111.9399788 33.4264657)",bike;auto;walk,1
West 4th Street,51,5603481,2307,341,,1.3653301308144001,1,25,,residential,6,"LINESTRING (-111.9399788 33.4264657, -111.9399641 33.4264662)",bike;auto;walk,1
West 4th Street,52,5603481,2307,21,,9.176233330203917,1,25,,residential,6,"LINESTRING (-111.9399788 33.4264657, -111.940024 33.4264642, -111.9400776 33.4264624)",bike;auto;walk,1
West 4th Street,53,5603481,21,2307,,9.176233330203917,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940024 33.4264642, -111.9399788 33.4264657)",bike;auto;walk,1
West 4th Street,54,5603481,21,22,,65.00036566986924,1,25,,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)",bike;auto;walk,1
West 4th Street,55,5603481,22,21,,65.00036566986924,1,25,,residential,6,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)",bike;auto;walk,1
South Mill Avenue,56,5607328,29,2316,,5.407260172289038,3,30,,primary,3,"LINESTRING (-111.9400803 33.4219289, -111.9400823 33.4218803)",bike;auto;walk,0
South Mill Avenue,57,5607328,2316,2026,,68.71189874001028,3,30,,primary,3,"LINESTRING (-111.9400823 33.4218803, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626)",bike;auto;walk,0
South Mill Avenue,58,5607328,2026,2023,,37.9544583935054,3,30,,primary,3,"LINESTRING (-111.9400726 33.4212626, -111.9400612 33.4209214)",bike;auto;walk,0
South Mill Avenue,59,5607328,2023,240,,47.58654734421524,3,30,,primary,3,"LINESTRING (-111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",bike;auto;walk,0
West 10th Street,60,5608313,238,2083,,40.22914100691347,1,29,,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531)",bike;auto;walk,1
West 10th Street,61,5608313,2083,238,,40.22914100691348,1,29,,residential,6,"LINESTRING (-111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)",bike;auto;walk,1
West 10th Street,62,5608313,2083,2071,,2.4693849163156205,1,29,,residential,6,"LINESTRING (-111.9404614 33.4190531, -111.940488 33.4190526)",bike;auto;walk,1
West 10th Street,63,5608313,2071,2083,,2.4693849163156205,1,29,,residential,6,"LINESTRING (-111.940488 33.4190526, -111.9404614 33.4190531)",bike;auto;walk,1
West 10th Street,64,5608313,2071,135,,10.146386177275886,1,29,,residential,6,"LINESTRING (-111.940488 33.4190526, -111.9405973 33.4190507)",bike;auto;walk,1
West 10th Street,65,5608313,135,2071,,10.146386177275886,1,29,,residential,6,"LINESTRING (-111.9405973 33.4190507, -111.940488 33.4190526)",bike;auto;walk,1
West 10th Street,66,5608313,135,8,,59.41747876248545,1,29,,residential,6,"LINESTRING (-111.9405973 33.4190507, -111.9412375 33.4190521)",bike;auto;walk,1
West 10th Street,67,5608313,8,135,,59.41747876248545,1,29,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507)",bike;auto;walk,1
West 10th Street,68,5608313,8,132,,50.294151806181134,1,29,,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532)",bike;auto;walk,1
