o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0.0,"LINESTRING (-122.3347924 47.6645809,-122.3347924 47.6645809)"
1,A1,2,A2,0.8689275806084201,0.5081276859298339,"LINESTRING (-122.3347924 47.6645809,-122.3257881 47.6647182)"
1,A1,3,A3,1.922695975801382,0.7854177906004047,"LINESTRING (-122.3347924 47.6645809,-122.3148683 47.6648797)"
1,A1,4,A4,2.892642376329537,0.7938347797964422,"LINESTRING (-122.3347924 47.6645809,-122.3048193 47.6651586)"
1,A1,5,A5,3.898084587514715,0.6140522818669061,"LINESTRING (-122.3347924 47.6645809,-122.2943942 47.6647943)"
1,A1,6,B1,0.38683053853288096,1.104977199829485,"LINESTRING (-122.3347924 47.6645809,-122.3345209 47.6605811)"
1,A1,7,B2,0.9733996770760395,0.9368695652206055,"LINESTRING (-122.3347924 47.6645809,-122.325519 47.6606093)"
1,A1,8,B3,1.9324472474654575,1.4916026053963847,"LINESTRING (-122.3347924 47.6645809,-122.3151817 47.660517)"
1,A1,9,B4,2.929469347076217,0.978624969024508,"LINESTRING (-122.3347924 47.6645809,-122.3047029 47.6605345)"
1,A1,10,B5,3.998681257529971,1.2195689432882277,"LINESTRING (-122.3347924 47.6645809,-122.2935066 47.6609936)"
1,A1,11,C1,0.8469481386815927,0.7280385332001653,"LINESTRING (-122.3347924 47.6645809,-122.3350968 47.6558086)"
1,A1,12,C2,1.2319839096662932,0.8748497894785696,"LINESTRING (-122.3347924 47.6645809,-122.3253243 47.6560149)"
1,A1,13,C3,2.0936269539540215,0.8939341925645196,"LINESTRING (-122.3347924 47.6645809,-122.3148916 47.6559348)"
1,A1,14,C4,3.009150224201474,1.7793302437546898,"LINESTRING (-122.3347924 47.6645809,-122.3048201 47.6559651)"
1,A1,15,C5,4.047706315453068,0.09342626166548747,"LINESTRING (-122.3347924 47.6645809,-122.2934898 47.6572427)"
1,A1,16,D1,1.2781603301264242,0.6717595336529955,"LINESTRING (-122.3347924 47.6645809,-122.3352917 47.6513437)"
1,A1,17,D2,1.6006945453863093,0.42665555957408186,"LINESTRING (-122.3347924 47.6645809,-122.3246096 47.6514846)"
1,A1,18,D3,2.3736871199553526,0.5900407804223455,"LINESTRING (-122.3347924 47.6645809,-122.3138341 47.6516996)"
1,A1,19,D4,3.1116362120436563,0.5540979120689106,"LINESTRING (-122.3347924 47.6645809,-122.305244 47.6516642)"
1,A1,20,D5,3.7146501231558053,0.0,"LINESTRING (-122.3347924 47.6645809,-122.2989995 47.6504055)"
1,A1,21,E1,1.6583232244718074,0.4746509309378677,"LINESTRING (-122.3347924 47.6645809,-122.3359803 47.6474355)"
1,A1,22,E2,1.9564165329714827,0.16461609313303896,"LINESTRING (-122.3347924 47.6645809,-122.3228057 47.6482276)"
1,A1,23,E3,2.2846316982874604,0.08570260242219106,"LINESTRING (-122.3347924 47.6645809,-122.3177506 47.6481432)"
1,A1,24,E4,3.3497196186259064,0.38443098375070217,"LINESTRING (-122.3347924 47.6645809,-122.3040097 47.6485309)"
